;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width;;;
55;123d;204;230;MT;2008;2013;1ER;7.5;1411;440;4360;4;2660;1615;1748;;;
56;118d;143;208;MT;2008;2013;1ER;9.5;1411;440;4360;4;2660;1485;1748;;;
57;118i;143;210;MT;2008;2013;1ER;9.3;1411;440;4360;4;2660;1420;1748;;;
58;128i;233;209;AT;2008;2013;1ER;7.4;1411;410;4373;6;2660;1620;1748;;;
59;125i;218;236;AT;2008;2013;1ER;7.4;1411;440;4360;6;2660;1615;1748;;;
60;135is;324;241;MT;2008;2013;1ER;5.5;1411;;4373;6;2660;1650;1748;;;
61;135i;305;209;MT;2008;2013;1ER;5.6;1411;410;4373;6;2660;1650;1748;;;
62;128i;233;209;MT;2008;2013;1ER;6.8;1411;410;4373;6;2660;1585;1748;;;
63;125i;218;238;MT;2008;2013;1ER;6.8;1411;440;4360;6;2660;1585;1748;;;
64;135i;306;250;MT;2008;2013;1ER;5.6;1411;440;4360;6;2660;1665;1748;;;
65;135i;305;209;DCT;2008;2013;1ER;5.5;1411;410;4373;6;2660;1680;1748;;;
66;135is;324;241;DCT;2008;2013;1ER;5.4;1411;;4373;6;2660;1680;1748;;;
67;135i;306;250;AMT;2008;2013;1ER;5.5;1411;440;4360;6;2660;1675;1748;;;
68;120i;156;215;AT;2008;2013;1ER;9.2;1423;440;4360;4;2660;1395;1748;;;
69;118d;143;210;AT;2008;2013;1ER;9.1;1423;440;4360;4;2660;1420;1748;;;
70;120d;177;226;AT;2008;2013;1ER;7.8;1423;440;4360;4;2660;1450;1748;;;
71;120i;170;222;AT;2008;2013;1ER;8.4;1423;440;4360;4;2660;1395;1748;;;
72;123d;204;236;AT;2008;2013;1ER;7.1;1423;440;4360;4;2660;1495;1748;;;
73;120i;156;213;MT;2008;2013;1ER;8.6;1423;440;4360;4;2660;1375;1748;;;
74;120d;177;228;MT;2008;2013;1ER;7.6;1423;440;4360;4;2660;1450;1748;;;
75;123d;204;238;MT;2008;2013;1ER;7.0;1423;440;4360;4;2660;1495;1748;;;
76;120i;170;224;MT;2008;2013;1ER;7.8;1423;440;4360;4;2660;1375;1748;;;
77;118d;143;210;MT;2008;2013;1ER;9.0;1423;440;4360;4;2660;1395;1748;;;
78;128i;233;209;AT;2008;2013;1ER;7.1;1423;400;4373;6;2660;1510;1748;;;
79;125i;218;243;AT;2008;2013;1ER;7.0;1423;440;4360;6;2660;1505;1748;;;
80;135i;306;250;MT;2008;2013;1ER;5.3;1423;440;4360;6;2660;1530;1748;;;
81;135i;305;209;MT;2008;2013;1ER;5.4;1423;400;4373;6;2660;1530;1748;;;
82;135is;324;241;MT;2008;2013;1ER;5.2;1408;;4373;6;2660;1530;1748;;;
83;128i;233;209;MT;2008;2013;1ER;6.5;1423;400;4373;6;2660;1475;1748;;;
84;125i;218;245;MT;2008;2013;1ER;6.4;1423;440;4360;6;2660;1480;1748;;;
85;135i;305;209;DCT;2008;2013;1ER;5.3;1423;400;4373;6;2660;1560;1748;;;
86;135i;306;250;AMT;2008;2013;1ER;5.2;1423;440;4360;6;2660;1545;1748;;;
87;135is;324;241;DCT;2008;2013;1ER;5.0;1408;;4373;6;2660;1560;1748;;;
88;123d;204;230;AT;2007;2012;1ER;7.6;1411;440;4360;4;2660;1540;1748;;;
89;120d;177;220;AT;2007;2012;1ER;8.2;1411;440;4360;4;2660;1520;1748;;;
90;118i;143;208;AT;2007;2012;1ER;10.1;1411;440;4360;4;2660;1445;1748;;;
91;120i;170;218;AT;2007;2012;1ER;9.0;1411;440;4360;4;2660;1460;1748;;;
92;123d;204;230;AT;2007;2012;1ER;7.6;1411;440;4360;4;2660;1540;1748;;;
93;120d;177;220;AT;2007;2012;1ER;8.2;1411;445;4360;4;2660;1515;1748;;;
94;123d;204;230;AT;2007;2012;1ER;7.6;1411;440;4360;4;2660;1540;1748;;;
95;118d;143;208;AT;2007;2012;1ER;9.6;1411;440;4360;4;2660;1500;1748;;;
96;120i;170;218;AT;2007;2012;1ER;9.0;1411;440;4360;4;2660;1460;1748;;;
97;118i;143;208;AT;2007;2012;1ER;10.1;1411;440;4360;4;2660;1445;1748;;;
98;118i;143;210;MT;2007;2012;1ER;9.3;1411;440;4360;4;2660;1420;1748;;;
99;120i;170;220;MT;2007;2012;1ER;8.4;1411;440;4360;4;2660;1430;1748;;;
100;120d;177;222;MT;2007;2012;1ER;8.1;1411;440;4360;4;2660;1510;1748;;;
101;123d;204;230;MT;2007;2012;1ER;7.5;1411;440;4360;4;2660;1540;1748;;;
102;118i;143;210;MT;2007;2012;1ER;9.3;1411;440;4360;4;2660;1420;1748;;;
103;120i;170;220;MT;2007;2012;1ER;8.4;1411;440;4360;4;2660;1430;1748;;;
104;123d;204;230;MT;2007;2012;1ER;7.5;1411;440;4360;4;2660;1540;1748;;;
105;118d;143;208;MT;2007;2012;1ER;9.5;1411;440;4360;4;2660;1475;1748;;;
106;120d;177;222;MT;2007;2012;1ER;8.1;1411;445;4360;4;2660;1505;1748;;;
107;123d;204;230;MT;2007;2012;1ER;7.5;1411;440;4360;4;2660;1540;1748;;;
108;135i;305;209;AT;2007;2012;1ER;5.7;1411;410;4373;6;2660;1665;1748;;;
109;125i;218;236;AT;2007;2012;1ER;7.4;1411;440;4360;6;2660;1540;1748;;;
110;128i;233;209;AT;2007;2012;1ER;7.3;1411;410;4373;6;2660;1620;1748;;;
111;125i;218;236;AT;2007;2012;1ER;7.4;1411;440;4360;6;2660;1540;1748;;;
112;135i;306;250;AT;2007;2012;1ER;5.7;1411;440;4360;6;2660;1610;1748;;;
113;135i;306;250;MT;2007;2012;1ER;5.6;1411;440;4360;6;2660;1600;1748;;;
114;135i;306;250;MT;2007;2012;1ER;5.6;1411;440;4360;6;2660;1590;1748;;;
115;128i;233;209;MT;2007;2012;1ER;6.7;1411;410;4373;6;2660;1585;1748;;;
116;125i;218;238;MT;2007;2012;1ER;6.8;1411;440;4360;6;2660;1510;1748;;;
117;135i;305;209;MT;2007;2012;1ER;5.6;1411;410;4373;6;2660;1660;1748;;;
118;125i;218;238;MT;2007;2012;1ER;6.8;1411;440;4360;6;2660;1510;1748;;;
119;135i;306;250;DKG;2007;2012;1ER;5.5;1411;440;4360;6;2660;1600;1748;;;
120;120d;177;226;AT;2007;2012;1ER;7.8;1423;445;4360;4;2660;1375;1748;;;
121;120d;177;226;AT;2007;2012;1ER;7.8;1423;440;4360;4;2660;1380;1748;;;
122;123d;204;236;AT;2007;2012;1ER;7.1;1423;440;4360;4;2660;1420;1748;;;
123;120d;177;226;AT;2007;2012;1ER;7.8;1423;440;4360;4;2660;1380;1748;;;
124;123d;204;236;AT;2007;2012;1ER;7.1;1423;440;4360;4;2660;1420;1748;;;
125;120i;170;222;AT;2007;2012;1ER;8.4;1423;440;4360;4;2660;1320;1748;;;
126;123d;204;236;AT;2007;2012;1ER;7.1;1423;440;4360;4;2660;1420;1748;;;
127;118d;143;210;AT;2007;2012;1ER;9.1;1423;440;4360;4;2660;1345;1748;;;
128;118d;143;210;MT;2007;2012;1ER;9.0;1423;440;4360;4;2660;1320;1748;;;
129;123d;204;238;MT;2007;2012;1ER;7.0;1423;440;4360;4;2660;1420;1748;;;
130;123d;204;238;MT;2007;2012;1ER;7.0;1423;440;4360;4;2660;1420;1748;;;
131;123d;204;238;MT;2007;2012;1ER;7.0;1423;440;4360;4;2660;1420;1748;;;
132;120d;177;228;MT;2007;2012;1ER;7.6;1423;440;4360;4;2660;1375;1748;;;
133;120d;177;228;MT;2007;2012;1ER;7.6;1423;440;4360;4;2660;1375;1748;;;
134;120d;177;228;MT;2007;2012;1ER;7.6;1423;440;4360;4;2660;1375;1748;;;
135;120i;170;224;MT;2007;2012;1ER;7.8;1423;440;4360;4;2660;1300;1748;;;
136;125i;218;243;AT;2007;2012;1ER;7.0;1423;440;4360;6;2660;1430;1748;;;
137;125i;218;243;AT;2007;2012;1ER;7.0;1423;440;4360;6;2660;1430;1748;;;
138;135i;306;250;AT;2007;2012;1ER;5.4;1408;440;4360;6;2660;1490;1748;;;
139;128i;233;209;AT;2007;2012;1ER;7.0;1423;400;4373;6;2660;1510;1748;;;
140;135i;305;241;AT;2007;2012;1ER;5.4;1408;400;4373;6;2660;1535;1748;;;
141;128i;233;209;MT;2007;2012;1ER;6.4;1423;400;4373;6;2660;1475;1748;;;
142;135i;306;250;MT;2007;2012;1ER;5.3;1408;440;4360;6;2660;1455;1748;;;
143;125i;218;245;MT;2007;2012;1ER;6.4;1423;440;4360;6;2660;1405;1748;;;
144;135i;306;250;MT;2007;2012;1ER;5.3;1408;440;4360;6;2660;1485;1748;;;
145;135i;305;241;MT;2007;2012;1ER;5.3;1408;400;4373;6;2660;1530;1748;;;
146;125i;218;245;MT;2007;2012;1ER;6.4;1423;440;4360;6;2660;1405;1748;;;
147;135i;306;250;DKG;2007;2012;1ER;5.2;1408;440;4360;6;2660;1470;1748;;;
148;116i;122;202;AT;2007;2012;1ER;11.1;1421;500;4239;4;2660;1280;1748;;;
149;116i;115;197;AT;2007;2012;1ER;12.2;1421;;4239;4;2660;1335;1748;;;
150;116i;122;204;MT;2007;2012;1ER;10.1;1421;500;4239;4;2660;1255;1748;;;
151;116i;115;200;MT;2007;2012;1ER;10.8;1421;500;4239;4;2660;1310;1748;;;
152;123d;204;236;AT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1410;1748;;;
153;118d;143;210;AT;2007;2012;1ER;9.0;1421;510;4239;4;2660;1335;1748;;;
154;123d;204;236;AT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1485;1748;;;
155;120d;177;226;AT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1370;1748;;;
156;120d;177;226;AT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1445;1748;;;
157;116i;122;202;AT;2007;2012;1ER;10.7;1421;490;4239;4;2660;1290;1748;;;
158;118i;143;210;AT;2007;2012;1ER;9.2;1421;500;4239;4;2660;1290;1748;;;
159;120d;177;226;AT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1370;1748;;;
160;118i;143;210;AT;2007;2012;1ER;9.2;1421;500;4239;4;2660;1290;1748;;;
161;120i;170;222;AT;2007;2012;1ER;8.3;1421;500;4239;4;2660;1310;1748;;;
162;123d;204;236;AT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1410;1748;;;
163;120i;170;222;AT;2007;2012;1ER;8.3;1421;500;4239;4;2660;1310;1748;;;
164;118d;143;210;AT;2007;2012;1ER;9.0;1421;510;4239;4;2660;1335;1748;;;
165;120i;156;213;AT;2007;2012;1ER;9.1;1421;500;4239;4;2660;1385;1748;;;
166;118i;136;204;AT;2007;2012;1ER;10.0;1421;500;4239;4;2660;1365;1748;;;
167;120d;177;226;AT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1370;1748;;;
168;123d;204;236;AT;2007;2012;1ER;7.0;1421;500;4239;4;2660;1410;1748;;;
169;120d;177;228;MT;2007;2012;1ER;7.5;1421;500;4239;4;2660;1365;1748;;;
170;123d;204;238;MT;2007;2012;1ER;6.9;1421;500;4239;4;2660;1485;1748;;;
171;120i;156;215;MT;2007;2012;1ER;8.5;1421;500;4239;4;2660;1365;1748;;;
172;118i;136;208;MT;2007;2012;1ER;9.3;1421;500;4239;4;2660;1340;1748;;;
173;120d;177;228;MT;2007;2012;1ER;7.5;1421;500;4239;4;2660;1440;1748;;;
174;118i;143;210;MT;2007;2012;1ER;8.7;1421;500;4239;4;2660;1265;1748;;;
175;120i;170;224;MT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1290;1748;;;
176;118d;143;210;MT;2007;2012;1ER;8.9;1421;510;4239;4;2660;1310;1748;;;
177;120d;177;228;MT;2007;2012;1ER;7.5;1421;500;4239;4;2660;1365;1748;;;
178;123d;204;238;MT;2007;2012;1ER;6.9;1421;500;4239;4;2660;1410;1748;;;
179;118d;143;210;MT;2007;2012;1ER;8.9;1421;510;4239;4;2660;1310;1748;;;
180;116i;122;204;MT;2007;2012;1ER;9.8;1421;490;4239;4;2660;1265;1748;;;
181;118i;143;210;MT;2007;2012;1ER;8.7;1421;500;4239;4;2660;1265;1748;;;
182;120i;170;224;MT;2007;2012;1ER;7.7;1421;500;4239;4;2660;1290;1748;;;
183;123d;204;238;MT;2007;2012;1ER;6.9;1421;500;4239;4;2660;1410;1748;;;
184;116d;116;200;MT;2007;2012;1ER;10.2;1421;525;4239;4;2660;1295;1748;;;
185;116d;115;200;MT;2007;2012;1ER;10.2;1421;525;4239;4;2660;1295;1748;;;
