;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width
1607;525d;163;219;AT;2000;2004;5ER;9.1;1435;540;4775;6;2830;1630;1800
1608;525d;163;219;MT;2000;2004;5ER;8.9;1435;540;4775;6;2830;1595;1800
1609;525i;192;238;MT;2000;2004;5ER;8.1;1435;510;4775;6;2830;1500;1800
1610;525i;186;0;MT;2000;2004;5ER;;1435;;4775;6;2830;1565;1800
1611;530d;193;230;AT;2000;2004;5ER;8;1435;540;4775;6;2830;1660;1800
1612;530d;193;230;MT;2000;2004;5ER;7.8;1435;540;4775;6;2830;1625;1800
1613;530i;228;0;AT;2000;2004;5ER;;1435;;4775;6;2830;1610;1800
1614;530i;231;244;AT;2000;2004;5ER;7.6;1435;530;4775;6;2830;1575;1800
1615;530i;228;0;MT;2000;2004;5ER;;1435;;4775;6;2830;1585;1800
1616;530i;231;250;MT;2000;2004;5ER;7.1;1435;530;4775;6;2830;1540;1800
1617;535i;238;247;AT;2000;2004;5ER;7.6;1435;550;4775;8;2830;1645;1800
1618;535i;238;250;MT;2000;2004;5ER;6.9;1435;540;4775;8;2830;1610;1800
1619;540i;286;250;AT;2000;2004;5ER;6.4;1435;530;4775;8;2830;1675;1800
1620;540i;286;250;AT;2000;2004;5ER;6.7;1435;400;4775;8;2830;1800;1800
1621;540i;286;250;MT;2000;2004;5ER;6.2;1435;540;4775;8;2830;1630;1800
1622;520d;136;204;MT;2000;2004;5ER;10.9;1445;600;4805;4;2830;1595;1800
1623;520i;170;217;AT;2000;2004;5ER;10.5;1445;600;4805;6;2830;1630;1800
1624;520i;170;223;MT;2000;2004;5ER;9.5;1445;600;4805;6;2830;1595;1800
1625;525i;186;0;AT;2000;2004;5ER;;1445;;4805;6;2830;1725;1800
1626;525i;192;229;AT;2000;2004;5ER;9.3;1445;600;4805;6;2830;1640;1800
1627;525d;163;215;AT;2000;2004;5ER;9.6;1445;600;4805;6;2830;1740;1800
1628;525i;192;235;MT;2000;2004;5ER;8.5;1445;600;4805;6;2830;1605;1800
1629;525i;186;0;MT;2000;2004;5ER;;1445;;4805;6;2830;1690;1800
1630;525d;163;215;MT;2000;2004;5ER;9.4;1445;600;4805;6;2830;1705;1800
1631;530d;193;227;AT;2000;2004;5ER;8.4;1445;600;4805;6;2830;1770;1800
1632;530d;193;227;MT;2000;2004;5ER;8.1;1445;600;4805;6;2830;1735;1800
1633;530i;231;241;AT;2000;2004;5ER;7.9;1445;600;4805;6;2830;1670;1800
1634;530i;231;250;MT;2000;2004;5ER;7.5;1445;600;4805;6;2830;1645;1800
1635;540i;286;250;AT;2000;2004;5ER;6.7;1445;540;4805;8;2830;1775;1800
1636;540i;286;250;MT;2000;2004;5ER;6.3;1445;540;4805;8;2830;1740;1800
1637;518i;113;191;AT;1988;1996;5ER;14.1;1412;510;4720;4;2761;1400;1751
1638;518i;116;192;AT;1988;1996;5ER;13.7;1412;510;4720;4;2761;1400;1751
1639;518i;116;198;MT;1988;1996;5ER;12.3;1412;510;4720;4;2761;1360;1751
1640;518i;113;194;MT;1988;1996;5ER;12.4;1412;510;4720;4;2761;1360;1751
1641;518i;115;192;MT;1988;1996;5ER;12.8;1412;510;4720;4;2761;1330;1751
1642;520i;150;207;5AT;1988;1996;5ER;12;1412;510;4720;6;2761;1480;1751
1643;520i;129;200;AT;1988;1996;5ER;13.3;1412;510;4720;6;2761;1420;1751
1644;520i VANOS;150;207;AT;1988;1996;5ER;11.7;1412;510;4720;6;2761;1480;1751
1645;520i;150;207;4AT;1988;1996;5ER;12.2;1412;510;4720;6;2761;1445;1751
1646;520i;129;198;AT;1988;1996;5ER;13.9;1412;510;4720;6;2761;1420;1751
1647;520i;129;203;MT;1988;1996;5ER;11.4;1412;510;4720;6;2761;1400;1751
1648;520i;150;211;MT;1988;1996;5ER;10;1412;510;4720;6;2761;1425;1751
1649;520i VANOS;150;211;MT;1988;1996;5ER;10.6;1412;510;4720;6;2761;1445;1751
1650;520i;129;203;MT;1988;1996;5ER;11.9;1412;510;4720;6;2761;1400;1751
1651;524td;115;190;AT;1988;1996;5ER;13.9;1412;510;4720;6;2761;1500;1751
1652;524td;115;192;MT;1988;1996;5ER;12.9;1412;510;4720;6;2761;1480;1751
1653;525ix;192;217;AT;1988;1996;5ER;10.8;1421;510;4720;6;2761;1605;1751
1654;525i;170;217;AT;1988;1996;5ER;11.3;1412;510;4720;6;2761;1470;1751
1655;525i;170;217;AT;1988;1996;5ER;11.3;1412;510;4720;6;2761;1470;1751
1656;525tds;143;205;AT;1988;1996;5ER;11.6;1412;510;4720;6;2761;1515;1751
1657;525i;192;225;4AT;1988;1996;5ER;9.9;1412;510;4720;6;2761;1495;1751
1658;525i;192;225;5AT;1988;1996;5ER;9.9;1412;510;4720;6;2761;1515;1751
1659;525i VANOS;192;225;AT;1988;1996;5ER;9.5;1412;510;4720;6;2761;1515;1751
1660;525td;115;190;AT;1988;1996;5ER;13.9;1412;510;4720;6;2761;1500;1751
1661;525ix VANOS;192;217;AT;1988;1996;5ER;10.3;1421;510;4720;6;2761;1605;1751
1662;525ix VANOS;192;220;MT;1988;1996;5ER;9.5;1421;510;4720;6;2761;1570;1751
1663;525i VANOS;192;230;MT;1988;1996;5ER;8.6;1412;510;4720;6;2761;1480;1751
1664;525i;170;221;MT;1988;1996;5ER;9.5;1412;510;4720;6;2761;1450;1751
1665;525td;115;194;MT;1988;1996;5ER;12.9;1412;510;4720;6;2761;1465;1751
1666;525tds;143;207;MT;1988;1996;5ER;11;1412;510;4720;6;2761;1480;1751
1667;525ix;192;220;MT;1988;1996;5ER;9.5;1421;510;4720;6;2761;1570;1751
1668;525i;192;230;MT;1988;1996;5ER;8.6;1412;510;4720;6;2761;1475;1751
1669;525i;170;221;MT;1988;1996;5ER;9.5;1412;510;4720;6;2761;1450;1751
1670;530i;188;224;AT;1988;1996;5ER;10.8;1412;510;4720;6;2761;1530;1751
1671;530i;218;232;AT;1988;1996;5ER;8.8;1412;510;4720;8;2761;1595;1751
1672;530i;188;224;AT;1988;1996;5ER;10.8;1412;510;4720;6;2761;1530;1751
1673;530i;188;227;MT;1988;1996;5ER;8.6;1412;510;4720;6;2761;1510;1751
1674;530i;188;227;MT;1988;1996;5ER;8.6;1412;510;4720;6;2761;1510;1751
1675;530i;218;235;MT;1988;1996;5ER;7.7;1412;510;4720;8;2761;1565;1751
1676;535i;211;231;AT;1988;1996;5ER;9.1;1412;510;4720;6;2761;1545;1751
1677;535i;211;235;MT;1988;1996;5ER;7.7;1412;510;4720;6;2761;1525;1751
1678;540i;286;250;AT;1988;1996;5ER;8.1;1412;510;4720;8;2761;1650;1751
1679;540i;286;250;MT;1988;1996;5ER;6.3;1412;520;4720;8;2761;1605;1751
1680;518i;113;190;MT;1988;1996;5ER;13.4;1417;570;4720;4;2761;1445;1751
1681;518i;116;192;MT;1988;1996;5ER;13.2;1417;570;4720;4;2761;1445;1751
1682;520i;150;202;AT;1988;1996;5ER;12.6;1417;570;4720;6;2761;1565;1751
1683;520i VANOS;150;202;AT;1988;1996;5ER;12.4;1417;570;4720;6;2761;1565;1751
1684;520i VANOS;150;205;MT;1988;1996;5ER;11.3;1417;570;4720;6;2761;1530;1751
1685;520i;150;205;MT;1988;1996;5ER;11.3;1417;570;4720;6;2761;1530;1751
1686;525tds;143;200;AT;1988;1996;5ER;12.2;1417;550;4720;6;2761;1595;1751
1687;525ix VANOS;192;211;AT;1988;1996;5ER;10.9;1422;550;4720;6;2761;1685;1751
1688;525i VANOS;192;218;AT;1988;1996;5ER;9.9;1417;550;4720;6;2761;1610;1751
1689;525ix;192;211;AT;1988;1996;5ER;11.3;1422;550;4720;6;2761;1685;1751
1690;525i;192;218;AT;1988;1996;5ER;10;1417;550;4720;6;2761;1610;1751
1691;525td;115;183;AT;1988;1996;5ER;14.7;1417;540;4720;6;2761;1590;1751
1692;525i;192;221;MT;1988;1996;5ER;9.2;1417;550;4720;6;2761;1575;1751
1693;525tds;143;202;MT;1988;1996;5ER;11.6;1417;550;4720;6;2761;1560;1751
1694;525i VANOS;192;221;MT;1988;1996;5ER;9.2;1417;550;4720;6;2761;1575;1751
1695;525td;115;188;MT;1988;1996;5ER;13.7;1417;550;4720;6;2761;1545;1751
1696;525ix VANOS;192;215;MT;1988;1996;5ER;10;1422;550;4720;6;2761;1650;1751
1697;525ix;192;215;MT;1988;1996;5ER;10;1422;550;4720;6;2761;1650;1751
1698;530i;218;225;AT;1988;1996;5ER;9;1417;550;4720;8;2761;1660;1751
1699;530i;218;227;MT;1988;1996;5ER;8.3;1417;550;4720;8;2761;1630;1751
1700;540i;286;250;AT;1988;1996;5ER;7;1417;550;4720;8;2761;1725;1751
1701;540i;286;250;MT;1988;1996;5ER;6.4;1417;550;4720;8;2761;1680;1751
1702;518i;105;175;4MT;1981;1988;5ER;12.6;1415;510;4620;4;2625;1140;1700
1703;518;90;164;4MT;1981;1988;5ER;14;1415;510;4620;4;2625;1160;1700
1704;518i;102;172;MT;1981;1988;5ER;13.7;1415;510;4620;4;2625;1160;1700
1705;518;90;164;5MT;1981;1988;5ER;14;1415;510;4620;4;2625;1160;1700
1706;518i;105;175;5MT;1981;1988;5ER;12.6;1415;510;4620;4;2625;1140;1700
1707;520i;129;184;AT;1981;1988;5ER;13.3;1415;490;4620;6;2625;1240;1700
1708;520i;129;183;AT;1981;1988;5ER;14.4;1415;490;4620;6;2625;1290;1700
1709;520i;125;179;3AT;1981;1988;5ER;14.4;1415;500;4620;6;2625;1230;1700
1710;520i;125;179;4AT;1981;1988;5ER;13.9;1415;490;4620;6;2625;1240;1700
1711;520i;129;190;MT;1981;1988;5ER;11.4;1415;510;4620;6;2625;1220;1700
1712;520i;129;190;MT;1981;1988;5ER;12.1;1415;510;4620;6;2625;1270;1700
1713;520i;125;185;5MT;1981;1988;5ER;11.8;1415;510;4620;6;2625;1220;1700
1714;520i;125;185;4MT;1981;1988;5ER;11.8;1415;510;4620;6;2625;1220;1700
1715;524td;115;175;AT;1981;1988;5ER;13.6;1415;490;4620;6;2625;1320;1700
1716;524td;116;175;AT;1981;1988;5ER;13.6;1415;;4800;6;2625;1470;1700
1717;524d;86;164;MT;1981;1988;5ER;18.1;1415;510;4620;6;2625;1330;1700
1718;524td;115;180;MT;1981;1988;5ER;12.9;1415;510;4620;6;2625;1300;1700
1719;525i;150;190;3AT;1981;1988;5ER;12.5;1415;500;4620;6;2625;1300;1700
1720;525i;150;190;4AT;1981;1988;5ER;12.5;1415;490;4620;6;2625;1300;1700
1721;525i;150;197;5MT;1981;1988;5ER;9.9;1415;510;4620;6;2625;1290;1700
1722;525i;150;197;4MT;1981;1988;5ER;9.9;1415;510;4620;6;2625;1290;1700
1723;528e;122;0;4AT;1981;1988;5ER;;1415;442;4800;6;2625;1363;1700
1724;525e;122;183;AT;1981;1988;5ER;13.1;1415;490;4620;6;2625;1290;1700
1725;525e;125;180;AT;1981;1988;5ER;12.3;1415;490;4620;6;2625;1270;1700
1726;528e;129;0;AT;1981;1988;5ER;;1415;;4800;6;2625;1426;1700
1727;528e;122;0;3AT;1981;1988;5ER;;1415;442;4800;6;2625;1363;1700
1728;525e;129;184;AT;1981;1988;5ER;12.3;1415;490;4620;6;2625;1290;1700
1729;525e;122;188;MT;1981;1988;5ER;11.3;1415;510;4620;6;2625;1270;1700
1730;525e;129;189;MT;1981;1988;5ER;10.7;1415;510;4620;6;2625;1270;1700
1731;525e;125;185;MT;1981;1988;5ER;10.7;1415;510;4620;6;2625;1250;1700
1732;528e;129;0;MT;1981;1988;5ER;;1415;;4800;6;2625;1406;1700
1733;528e;122;0;MT;1981;1988;5ER;;1415;462;4800;6;2625;1343;1700
1734;528i;184;203;3AT;1981;1988;5ER;11;1415;510;4620;6;2625;1320;1700
1735;528i;184;206;4AT;1981;1988;5ER;11.2;1415;490;4620;6;2625;1320;1700
1736;528i;184;209;MT;1981;1988;5ER;8.9;1415;510;4620;6;2625;1320;1700
1737;533i;184;0;AT;1981;1988;5ER;;1415;425;4800;6;2625;1440;1700
1738;533i;184;0;MT;1981;1988;5ER;;1415;445;4800;6;2625;1420;1700
1739;535i;185;207;AT;1981;1988;5ER;9.8;1415;490;4620;6;2625;1390;1700
1740;535i;218;219;AT;1981;1988;5ER;8.9;1415;490;4620;6;2625;1390;1700
1741;535i;204;219;AT;1981;1988;5ER;;1415;490;4620;6;2625;1390;1700
1742;535i;204;224;MT;1981;1988;5ER;7.5;1415;510;4620;6;2625;1370;1700
1743;535i;185;217;MT;1981;1988;5ER;7.9;1415;510;4620;6;2625;1370;1700
1744;535i;218;225;MT;1981;1988;5ER;7.2;1415;510;4620;6;2625;1370;1700
1745;518;90;155;AT;1976;1981;5ER;17.3;1425;440;4620;4;2636;1260;1690
1746;518;90;160;4MT;1976;1981;5ER;13.9;1425;460;4620;4;2636;1240;1690
1747;518i;102;167;MT;1976;1981;5ER;14.2;1425;390;4620;4;2636;1350;1690
1748;518;90;160;5MT;1976;1981;5ER;14.8;1425;460;4620;4;2636;1240;1690
1749;520;115;170;AT;1976;1981;5ER;;1425;460;4620;4;2636;1240;1690
1750;520;122;174;AT;1976;1981;5ER;15.7;1425;440;4620;6;2636;1330;1690
1751;520;115;176;5MT;1976;1981;5ER;12.3;1425;460;4620;4;2636;1240;1690
1752;520;122;180;4MT;1976;1981;5ER;12.4;1425;460;4620;6;2636;1310;1690
1753;520i;125;181;4MT;1976;1981;5ER;11.3;1425;440;4620;4;2636;1260;1690
1754;520;115;176;4MT;1976;1981;5ER;11.8;1425;460;4620;4;2636;1240;1690
1755;520;122;180;5MT;1976;1981;5ER;12.4;1425;460;4620;6;2636;1310;1690
1756;520i;125;181;5MT;1976;1981;5ER;10.9;1425;440;4620;4;2636;1260;1690
1757;525;150;185;AT;1976;1981;5ER;13.1;1425;440;4620;6;2636;1370;1690
1758;525;150;193;5MT;1976;1981;5ER;10.1;1425;460;4620;6;2636;1350;1690
1759;525;150;193;4MT;1976;1981;5ER;10.1;1425;460;4620;6;2636;1350;1690
1760;528i;171;193;AT;1976;1981;5ER;;1420;418;1826;6;2636;1550;1707
1761;528;165;190;AT;1976;1981;5ER;;1425;435;4620;6;2636;1405;1690
1762;528i;177;200;AT;1976;1981;5ER;11.7;1425;440;4620;6;2636;1430;1690
1763;528;165;198;4MT;1976;1981;5ER;9.5;1425;455;4620;6;2636;1385;1690
1764;528i;171;0;5MT;1976;1981;5ER;;1420;439;1826;6;2636;1529;1707
1765;528i;177;208;4MT;1976;1981;5ER;9.3;1425;460;4620;6;2636;1410;1690
1766;528i;171;200;4MT;1976;1981;5ER;;1420;439;1826;6;2636;1529;1707
1767;528i;177;208;5MT;1976;1981;5ER;9.3;1425;460;4620;6;2636;1410;1690
1768;530i;178;193;AT;1976;1981;5ER;;1420;388;1826;6;2636;1580;1707
1769;530i;178;200;MT;1976;1981;5ER;9.3;1420;408;1826;6;2636;1560;1707
1770;M535i;218;222;MT;1976;1981;5ER;7.6;1425;440;4620;6;2636;1430;1690
1771;518;90;160;MT;1972;1976;5ER;13.9;1425;470;4620;4;2636;1230;1690
1772;520;115;171;AT;1972;1976;5ER;;1425;550;4620;4;2636;1260;1690
1773;520;115;176;5MT;1972;1976;5ER;11.8;1425;570;4620;4;2636;1240;1690
1774;520i;130;181;5MT;1972;1976;5ER;11.3;1425;570;4620;4;2636;1240;1690
1775;520i;130;184;4MT;1972;1976;5ER;10.9;1425;570;4620;4;2636;1240;1690
1776;520;115;176;MT;1972;1976;5ER;12.3;1425;570;4620;4;2636;1240;1690
1777;525;145;185;AT;1972;1976;5ER;;1425;443;4620;6;2636;1367;1690
1778;525;145;193;MT;1972;1976;5ER;10.1;1425;465;4620;6;2636;1345;1690
1779;528;165;190;AT;1972;1976;5ER;;1425;433;4620;6;2636;1407;1690
1780;528;165;198;MT;1972;1976;5ER;9.5;1425;455;4620;6;2636;1385;1690
1781;530i;178;193;AT;1972;1976;5ER;;1420;388;4823;6;2636;1580;1707
1782;530i;178;200;MT;1972;1976;5ER;9.3;1420;408;4823;6;2636;1560;1707
1783;640i xDrive;320;250;AT;2010;2015;6ER;5.4;1365;450;4894;6;2855;1985;1894
1784;640i;320;250;AT;2010;2015;6ER;5.7;1365;450;4894;6;2855;1915;1894
1785;640d xDrive;313;250;AT;2010;2015;6ER;5.4;1365;450;4894;6;2855;2005;1894
1786;640d;313;250;AT;2010;2015;6ER;5.6;1365;450;4894;6;2855;1935;1894
1787;650i;407;250;AT;2010;2015;6ER;5;1365;450;4894;8;2855;2015;1894
1788;650i xDrive;407;250;AT;2010;2015;6ER;4.9;1365;450;4894;8;2855;2055;1894
1789;640i xDrive;320;250;AT;2010;2015;6ER;5.2;1369;450;4894;6;2855;1840;1894
1790;640d xDrive;313;250;AT;2010;2015;6ER;5.2;1369;450;4894;6;2855;1870;1894
1791;640d;313;250;AT;2010;2015;6ER;5.3;1369;450;4894;6;2855;1790;1894
1792;640i;320;250;AT;2010;2015;6ER;5.4;1369;450;4894;6;2855;1735;1894
1793;650i xDrive;407;250;AT;2010;2015;6ER;4.8;1369;450;4894;8;2855;1920;1894
1794;650i;407;250;AT;2010;2015;6ER;4.9;1369;450;4894;8;2855;1845;1894
1795;640d xDrive;313;250;AT;2010;2014;6ER;5.2;1392;570;5007;6;2968;1945;1894
1796;640i xDrive;320;250;AT;2010;2014;6ER;5.3;1392;570;5007;6;2968;1900;1894
1797;640d;313;250;AT;2010;2014;6ER;5.4;1392;570;5007;6;2968;1865;1894
1798;640i;320;250;AT;2010;2014;6ER;5.4;1392;570;5007;6;2968;1825;1894
1799;650i  xDrive;450;250;AT;2010;2014;6ER;4.5;1392;570;5007;8;2968;2015;1894
1800;650i;450;250;AT;2010;2014;6ER;4.4;1392;570;5007;8;2968;1940;1894
1801;630i;258;250;AT;2003;2007;6ER;7.2;1373;400;4820;6;2780;1700;1855
1802;630i;258;250;MT;2003;2007;6ER;6.9;1373;400;4820;6;2780;1685;1855
1803;645Ci;329;0;AT;2003;2007;6ER;;1373;355;4831;8;2780;1900;1855
1804;645Ci;333;250;AT;2003;2007;6ER;6.2;1373;400;4820;8;2780;1820;1855
1805;645Ci;329;0;MT;2003;2007;6ER;;1373;355;4831;8;2780;1895;1855
1806;645Ci;333;250;MT;2003;2007;6ER;6.1;1373;400;4820;8;2780;1815;1855
1807;650Ci;367;250;AT;2003;2007;6ER;5.8;1373;400;4820;8;2780;1855;1855
1808;650Ci;364;0;AT;2003;2007;6ER;;1373;350;4831;8;2780;1945;1855
1809;650Ci;367;250;MT;2003;2007;6ER;5.7;1373;400;4820;8;2780;1850;1855
1810;650Ci;364;0;MT;2003;2007;6ER;;1373;350;4831;8;2780;1940;1855
1811;630i;258;250;AT;2003;2007;6ER;6.7;1373;450;4820;6;2780;1505;1855
1812;630i;258;250;MT;2003;2007;6ER;6.5;1373;450;4820;6;2780;1490;1855
1813;645Ci;329;0;AT;2003;2007;6ER;;1374;380;4831;8;2780;1720;1855
1814;645Ci;333;250;AT;2003;2007;6ER;5.8;1373;450;4820;8;2780;1620;1855
1815;645Ci;333;250;MT;2003;2007;6ER;5.6;1373;450;4820;8;2780;1615;1855
1816;645Ci;329;0;MT;2003;2007;6ER;;1374;380;4831;8;2780;1715;1855
1817;650Ci;367;250;AT;2003;2007;6ER;5.5;1373;450;4820;8;2780;1645;1855
1818;650Ci;364;0;AT;2003;2007;6ER;;1374;380;4831;8;2780;1735;1855
1819;650Ci;364;0;MT;2003;2007;6ER;;1374;380;4831;8;2780;1730;1855
1820;650Ci;367;250;MT;2003;2007;6ER;5.4;1373;450;4820;8;2780;1640;1855
1821;630i;272;250;AT;2007;2010;6ER;7;1374;400;4820;6;2780;1750;1855
1822;635d;286;250;AT;2007;2010;6ER;6.6;1374;400;4820;6;2780;1860;1855
1823;630i;272;250;MT;2007;2010;6ER;6.7;1374;400;4820;6;2780;1740;1855
1824;650i;367;250;AT;2007;2010;6ER;5.6;1374;400;4820;8;2780;1860;1855
1825;650i;364;241;AT;2007;2010;6ER;5.9;1373;350;4831;8;2780;1940;1855
1826;650i;367;250;MT;2007;2010;6ER;5.5;1374;400;4820;8;2780;1860;1855
1827;650i;364;241;MT;2007;2010;6ER;5.8;1373;350;4831;8;2780;1940;1855
1828;630i;272;250;AT;2007;2010;6ER;6.4;1374;450;4820;6;2780;1540;1855
1829;635d;286;250;AT;2007;2010;6ER;6.3;1374;450;4820;6;2780;1650;1855
1830;630i;272;250;MT;2007;2010;6ER;6.2;1374;450;4820;6;2780;1530;1855
1831;650i;367;250;AT;2007;2010;6ER;5.2;1374;450;4820;8;2780;1650;1855
1832;650i;364;241;AT;2007;2010;6ER;5.6;1373;380;4831;8;2780;1730;1855
1833;650i;367;250;MT;2007;2010;6ER;5.1;1374;450;4820;8;2780;1650;1855
1834;650i;364;241;MT;2007;2010;6ER;5.5;1373;380;4831;8;2780;1730;1855
1835;635CSi;211;220;AT;1987;1989;6ER;9.1;1365;;4841;6;2630;1600;1725
1836;635CSi;220;225;AT;1987;1989;6ER;8.4;1365;400;4815;6;2630;1480;1725
1837;635CSi;211;220;AT;1987;1989;6ER;9;1365;400;4815;6;2630;1495;1725
1838;635CSi;211;222;MT;1987;1989;6ER;8.2;1365;;4841;6;2630;1580;1725
1839;635CSi;220;230;MT;1987;1989;6ER;7.4;1365;420;4815;6;2630;1460;1725
1840;635CSi;211;225;MT;1987;1989;6ER;8.1;1365;420;4815;6;2630;1475;1725
1841;628CSi;184;204;AT;1982;1987;6ER;10.9;1365;420;4755;6;2630;1430;1725
1842;628CSi;184;212;4MT;1982;1987;6ER;9.1;1365;420;4755;6;2630;1430;1725
1843;628CSi;184;212;5MT;1982;1987;6ER;9.1;1365;420;4755;6;2630;1430;1725
1844;633CSi;184;0;3AT;1982;1987;6ER;;1365;352;4923;6;2630;1540;1725
1845;633CSi;184;209;4AT;1982;1987;6ER;;1365;352;4923;6;2630;1540;1725
1846;635CSi;197;0;AT;1982;1987;6ER;;1365;400;4755;6;2630;1450;1725
1847;633CSi;184;215;MT;1982;1987;6ER;;1365;372;4923;6;2630;1520;1725
1848;635CSi;197;219;MT;1982;1987;6ER;7.8;1365;420;4755;6;2630;1430;1725
1849;635CSi;218;221;AT;1982;1987;6ER;9;1365;400;4755;6;2630;1450;1725
1850;635CSi;185;0;AT;1982;1987;6ER;;1365;;4923;6;2630;1555;1725
1851;635CSi;185;213;AT;1982;1987;6ER;9.6;1365;400;4755;6;2630;1450;1725
1852;635CSi;204;0;AT;1982;1987;6ER;;1365;400;4755;6;2630;1450;1725
1853;635CSi;218;229;MT;1982;1987;6ER;7.4;1365;420;4755;6;2630;1430;1725
1854;635CSi;185;217;MT;1982;1987;6ER;8.3;1365;420;4755;6;2630;1430;1725
1855;635CSi;185;0;MT;1982;1987;6ER;;1365;;4923;6;2630;1535;1725
1856;635CSi;218;229;MT;1982;1987;6ER;7.4;1365;420;4755;6;2630;1430;1725
1857;635CSi;204;219;MT;1982;1987;6ER;7.9;1365;420;4755;6;2630;1430;1725
1858;628CSi;184;200;AT;1976;1982;6ER;;1365;370;4755;6;2626;1460;1725
1859;628CSi;184;208;5MT;1976;1982;6ER;9.3;1365;380;4755;6;2626;1450;1725
1860;628CSi;184;208;4MT;1976;1982;6ER;9.3;1365;380;4755;6;2626;1450;1725
1861;630CS;185;202;AT;1976;1982;6ER;11.2;1365;360;4755;6;2626;1470;1725
1862;630CS;185;210;MT;1976;1982;6ER;8.9;1365;380;4755;6;2626;1450;1725
1863;633CSi;197;207;AT;1976;1982;6ER;10.4;1365;340;4755;6;2626;1490;1725
1864;633CSi;200;207;AT;1976;1982;6ER;10.4;1365;340;4755;6;2626;1490;1725
1865;633CSi;177;0;AT;1976;1982;6ER;;1365;;4895;6;2626;1576;1725
1866;633CSi;180;0;AT;1976;1982;6ER;;1365;;4895;6;2626;1576;1725
1867;633CSi;200;215;MT;1976;1982;6ER;7.9;1365;360;4755;6;2626;1470;1725
1868;633CSi;180;200;MT;1976;1982;6ER;8.8;1365;;4895;6;2626;1556;1725
1869;633CSi;197;215;5MT;1976;1982;6ER;7.9;1365;360;4755;6;2626;1470;1725
1870;633CSi;197;215;4MT;1976;1982;6ER;7.9;1365;360;4755;6;2626;1470;1725
1871;633CSi;177;200;MT;1976;1982;6ER;8.8;1365;;4895;6;2626;1556;1725
1872;635CSi;218;214;AT;1976;1982;6ER;9.1;1365;340;4755;6;2626;1520;1725
1873;635CSi;218;214;AT;1976;1982;6ER;9.1;1365;340;4755;6;2626;1520;1725
1874;635CSi;218;222;MT;1976;1982;6ER;7.6;1365;360;4755;6;2626;1500;1725
1875;635CSi;218;222;MT;1976;1982;6ER;7.6;1365;360;4755;6;2626;1500;1725
1876;725tds;143;202;AT;1998;2001;7ER;12.2;1435;535;4984;6;2930;1840;1862
1877;725tds;143;206;MT;1998;2001;7ER;11.5;1435;535;4984;6;2930;1820;1862
1878;728i;193;226;AT;1998;2001;7ER;9.6;1435;535;4984;6;2930;1805;1862
1879;728iL;193;226;AT;1998;2001;7ER;9.6;1425;535;5121;6;3070;1840;1862
1880;728i;193;228;MT;1998;2001;7ER;8.6;1435;535;4984;6;2930;1785;1862
1881;730d;184;220;AT;1998;2001;7ER;9.2;1435;535;4984;6;2930;1905;1862
1882;735iL;238;243;AT;1998;2001;7ER;8.2;1425;535;5124;8;3070;1920;1862
1883;735i;238;243;AT;1998;2001;7ER;8.2;1435;535;4984;8;2930;1885;1862
1884;740d;245;242;AT;1998;2001;7ER;8.4;1435;535;4984;8;2930;2035;1862
1885;740i;286;250;AT;1998;2001;7ER;7;1435;535;4984;8;2930;1925;1862
1886;740iL;286;250;AT;1998;2001;7ER;7;1425;535;5124;8;3070;1965;1862
1887;750i;326;250;AT;1998;2001;7ER;6.8;1425;535;4984;12;2930;2055;1862
1888;750iL;326;250;AT;1998;2001;7ER;6.8;1425;535;5124;12;3070;2110;1862
1889;L7;326;250;AT;1998;2001;7ER;7;1425;460;5374;12;3320;2215;1862
1890;730i;188;212;AT;1986;1994;7ER;11.3;1411;520;4910;6;2832;1590;1845
1891;730i;197;217;AT;1986;1994;7ER;10.8;1411;520;4910;6;2832;1590;1845
1892;730i;188;222;AT;1986;1994;7ER;10.6;1411;520;4910;6;2832;1590;1845
1893;730i;218;230;AT;1986;1994;7ER;9.3;1411;520;4910;8;2832;1730;1845
1894;730i;188;220;MT;1986;1994;7ER;9.4;1411;520;4910;6;2832;1570;1845
1895;730i;197;225;MT;1986;1994;7ER;8.9;1411;520;4910;6;2832;1570;1845
1896;730i;218;233;MT;1986;1994;7ER;8.5;1411;520;4910;8;2832;1700;1845
1897;735iL;220;225;AT;1986;1994;7ER;9.2;1400;520;5024;6;2946;1660;1845
1898;735i;211;222;AT;1986;1994;7ER;9.8;1411;520;4910;6;2832;1610;1845
1899;735i;220;225;AT;1986;1994;7ER;9.2;1411;520;4910;6;2832;1610;1845
1900;735iL;211;222;AT;1986;1994;7ER;9.8;1400;520;5024;6;2946;1660;1845
1901;735i;211;230;AT;1986;1994;7ER;9.1;1411;520;4910;6;2832;1610;1845
1902;735iL;211;230;AT;1986;1994;7ER;9.1;1400;520;5024;6;2946;1660;1845
1903;735iL;211;230;MT;1986;1994;7ER;8.3;1400;520;5024;6;2946;1640;1845
1904;735i;220;233;MT;1986;1994;7ER;7.9;1411;520;4910;6;2832;1590;1845
1905;735i;211;230;MT;1986;1994;7ER;8.3;1411;520;4910;6;2832;1590;1845
1906;735iL;220;233;MT;1986;1994;7ER;7.9;1400;520;5024;6;2946;1640;1845
